kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kabupaten Aceh Barat,2016,14.56,8.7,97.84,148,4,153,2125,48,2315,15757,422,16233,39,10,49,658,93,751,5270,698,5968,17,4,21,434,58,492,4404,570,4974,10,1,11,297,16,313,2469,42,2511
Kabupaten Aceh Barat,2017,14.57,9.04,97.84,150,3,153,2050,41,2091,16169,414,16583,45,8,53,727,88,815,5427,631,6058,17,4,21,431,61,492,4365,675,5040,10,1,11,296,14,310,2578,26,2604
Kabupaten Aceh Barat,2018,14.58,9.08,97.84,150,3,153,2127,36,2163,15694,467,16161,45,9,54,757,106,863,5391,783,6174,17,4,21,421,65,486,4269,639,4908,10,1,11,300,15,316,2606,30,2635
Kabupaten Aceh Barat,2019,14.59,9.09,97.84,150,3,153,2276,39,2315,15718,515,16233,45,11,56,774,130,904,5649,1006,6655,17,4,21,423,67,490,4289,652,4941,10,1,11,305,16,321,2633,33,2666
Kabupaten Aceh Barat,2020,14.6,9.37,97.84,150,3,153,2367,38,2405,15377,542,15919,45,13,58,850,173,1023,5544,1176,6720,17,4,21,433,68,501,4077,642,4719,10,1,11,312,20,332,2619,66,2685
Kabupaten Aceh Barat,2021,14.61,9.55,97.94,150,5,155,2259,74,2333,15452,614,16066,45,16,61,858,181,1039,4975,1243,6218,17,4,21,415,70,485,3999,657,4656,10,1,11,297,15,312,2744,55,2799
Kabupaten Aceh Barat,2022,14.63,9.87,98.69,150,5,155,2263,81,2344,15180,629,15809,45,16,61,893,188,1081,4657,1462,6119,17,5,22,421,77,498,4050,721,4771,11,0,11,344,0,344,2878,0,2878
Kabupaten Aceh Barat,2023,14.64,9.98,98.71,150,6,156,2203,76,2279,15080,671,15751,46,15,61,925,166,1091,4653,1529,6182,17,5,22,450,67,517,4255,684,4939,11,0,11,389,0,389,2913,0,2913
Kabupaten Aceh Barat,2024,14.93,9.99,98.13,150,6,156,2143,71,2214,14980,713,15693,46,16,62,919,138,1057,5017,1556,6573,17,5,22,446,55,501,4034,572,4606,11,0,11,376,0,376,2677,0,2677
Kabupaten Aceh Barat,2025,14.93,9.99,98.13,151,6,157,2096,83,2179,14886,841,15727,46,16,62,880,172,1052,5183,1502,6685,17,5,22,432,68,500,4031,531,4562,11,0,11,367,0,367,2691,0,2691
Kabupaten Aceh Barat Daya,2016,13.54,7.93,95.55,107,1,108,1573,0,1522,12039,49,12120,24,5,29,495,65,560,5206,405,5611,13,2,15,445,33,478,4859,339,5198,5,0,5,170,0,170,1222,0,1222
Kabupaten Aceh Barat Daya,2017,13.55,8.12,95.55,107,1,108,1564,11,1575,11939,101,12040,24,5,29,490,67,557,4945,379,5324,13,2,15,443,28,471,4770,294,5064,5,0,5,157,0,157,1217,0,1217
Kabupaten Aceh Barat Daya,2018,13.56,8.13,95.55,107,1,108,1449,11,1460,11897,177,12074,24,5,29,465,60,525,4780,411,5191,13,2,15,445,30,475,4497,277,4774,5,0,5,152,0,152,1172,0,1172
Kabupaten Aceh Barat Daya,2019,13.57,8.35,95.55,107,1,108,1507,15,1522,11884,236,12120,24,5,29,549,58,607,4941,489,5430,13,2,15,409,31,440,4439,286,4725,5,0,5,146,0,146,1127,0,1127
Kabupaten Aceh Barat Daya,2020,13.58,8.66,95.55,107,2,109,1542,23,1565,11590,383,11973,24,5,29,591,69,660,4968,458,5426,13,2,15,428,32,460,4309,284,4593,5,0,5,152,0,152,1079,0,1079
Kabupaten Aceh Barat Daya,2021,13.65,8.67,95.96,107,4,111,1481,40,1521,11878,577,12455,24,8,32,601,88,689,4761,678,5439,13,2,15,397,35,432,4655,306,4961,5,0,5,138,0,138,1044,0,1044
Kabupaten Aceh Barat Daya,2022,13.66,8.68,96.78,107,5,112,1436,58,1494,11623,784,12407,24,8,32,596,96,692,4557,826,5383,13,2,15,402,30,432,4182,316,4498,5,0,5,146,0,146,1011,0,1011
Kabupaten Aceh Barat Daya,2023,13.67,8.77,96.16,107,5,112,1464,63,1526,11676,906,12582,24,7,31,606,86,692,4538,864,5402,13,2,15,402,31,433,4280,315,4595,5,0,5,157,0,157,1052,0,1052
Kabupaten Aceh Barat Daya,2024,13.69,8.78,97.17,107,5,112,1491,68,1559,11729,1028,12757,24,7,31,614,75,689,4856,907,5763,13,2,15,407,31,438,4285,290,4575,5,0,5,165,0,165,1018,0,1018
Kabupaten Aceh Barat Daya,2025,13.69,8.78,97.17,107,5,112,1514,76,1590,11724,1103,12827,24,7,31,616,82,698,4928,826,5754,13,2,15,414,33,447,4198,275,4473,5,0,5,163,0,163,1116,0,1116
