kabupaten_kota,hls,rls,amh,sd_rasio_murid_guru,sd_rasio_murid_sekolah,smp_rasio_murid_guru,smp_rasio_murid_sekolah,sma_rasio_murid_guru,sma_rasio_murid_sekolah,smk_rasio_murid_guru,smk_rasio_murid_sekolah,cluster
Kabupaten Aceh Barat,14.663999999999998,9.466,98.08,7.075492534676208,103.74028497409326,6.54733360892931,109.7954939341421,9.6968964127368,224.84112149532714,8.005621301775149,245.9909090909091,0
Kabupaten Aceh Barat Daya,13.616,8.487,96.099,8.044541541672102,112.14090909090909,8.592086669806879,181.2019867549669,10.53173546382601,316.37333333333333,7.1526520051746445,221.16,0
Kabupaten Aceh Besar,14.687999999999999,10.24,98.49,11.419510755266943,145.64847058823528,9.91390680484093,172.07798742138365,8.239855285029822,186.4358407079646,7.919786096256685,301.68518518518516,0
Kabupaten Aceh Jaya,13.994,89.08900000000001,96.632,8.576858423608519,93.71530612244898,6.9264267249950295,97.02785515320335,9.332813109637144,170.85714285714286,6.6395348837209305,122.35714285714286,0
Kabupaten Aceh Selatan,14.372,8.671000000000001,96.996,7.762567672080433,97.96974133723768,8.583602071728722,146.88294314381272,8.268553758325405,208.1497005988024,5.384019711369236,135.36283185840708,0
Kabupaten Aceh Singkil,14.318000000000001,8.414,97.034,13.194108527131784,153.89150090415916,10.53264435695538,150.01635514018693,12.814354727398205,267.1654676258993,6.526582278481013,125.75609756097563,0
Kabupaten Aceh Tamiang,13.882,8.896,98.41900000000001,14.651307287006661,174.51450562462995,11.986996603590491,207.25838926174498,11.712283485389396,326.86346863468634,9.58130081300813,370.76404494382024,1
Kabupaten Aceh Tengah,14.505,9.822999999999999,98.745,8.696369779934153,100.97937625754527,6.538667215137803,123.46019417475728,8.472414438002618,234.72538860103626,9.580978909669716,429.94642857142856,0
Kabupaten Aceh Tenggara,14.138,9.779,98.38,12.726616143634606,140.96788732394367,10.131271543469934,144.35334242837655,11.086457659987072,245.0107142857143,8.645454545454545,160.48125,0
Kabupaten Aceh Timur,12.994,8.122,99.217,11.485446296579497,155.92387543252596,9.45433210706584,181.11421628189552,9.908033573141486,271.8190789473684,8.172002510985562,247.1772151898734,0
Kabupaten Aceh Utara,14.628,8.583,99.111,10.704161421301798,165.26252395291542,8.465447016495826,178.53185397279887,9.734810674119917,272.91977611940297,7.56823042920291,207.328125,0
Kabupaten Bener Meriah,13.556000000000001,9.85,99.25999999999999,11.72210218164076,127.60015174506827,6.1609608912614595,94.63279857397504,7.327839195979899,161.30973451327432,6.776337115072933,220.05263157894734,0
Kabupaten Bireuen,14.800999999999998,9.312999999999999,99.05499999999999,8.743981926302942,144.14469178082192,8.123594514749326,195.57855626326963,8.747065536354745,293.19398907103823,8.166077003121748,319.0081300813008,0
Kabupaten Gayo Lues,13.892,8.040000000000001,95.04499999999999,11.737092176116567,122.83093922651935,8.58474955277281,100.76377952755905,10.166305133767173,187.46666666666667,4.8390625,140.77272727272725,0
Kabupaten Nagan Raya,14.138,8.703,97.74,9.648065429380308,112.67891256429097,8.90132743362832,152.0176322418136,9.7182246133154,244.93220338983053,8.858672376873661,176.04255319148936,0
Kabupaten Pidie,14.403,8.925999999999998,96.252,8.316731292598925,123.63730755460078,7.000397535281256,205.05967976710335,8.769396924140315,336.0827814569537,8.523450789793438,263.7142857142857,0
Kabupaten Pidie Jaya,14.687999999999999,9.216,96.95700000000001,6.585159657530558,131.21566523605148,6.044945145688333,155.28181818181818,7.371030526531449,258.8345323741007,5.6353591160221,180.0,0
Kabupaten Simeulue,13.813999999999998,9.426,98.809,6.233192740286299,84.81478260869567,6.591544917625117,93.00438596491227,8.14986795774648,146.37549407114625,5.95382669196711,117.6625,0
Kota Banda Aceh,17.599,12.815000000000001,99.73,17.855252576942757,271.0788013318535,12.936024464831805,310.1231671554252,11.353581854929262,340.45454545454544,11.411127167630058,504.03191489361694,1
Kota Langsa,15.462,11.097,99.18199999999999,13.37636903656952,216.39189189189193,11.0418130122094,314.37619047619046,11.997647058823528,443.3913043478261,9.858440170940172,392.6595744680851,1
Kota Lhokseumawe,15.302000000000001,11.023,99.412,13.181267575167638,254.9665271966527,10.194041655681518,252.718954248366,9.471478463329452,336.19834710743805,9.26520968694625,376.464,1
Kota Sabang,14.132,11.046000000000001,99.607,9.568956870611835,150.83399209486166,6.674904132935662,170.2826086956522,10.07469244288225,382.1666666666667,7.491954022988505,325.9,0
Kota Subulussalam,14.65,7.824,97.024,12.417703733440385,146.25295508274232,12.155061596143547,148.80983606557376,12.597459309249702,235.05925925925928,9.40223831468071,264.48148148148147,0
