kabupaten_kota,sd_sekolah,sd_guru,sd_murid,smp_sekolah,smp_guru,smp_murid,sma_sekolah,sma_guru,sma_murid,smk_sekolah,smk_guru,smk_murid,cluster
Kabupaten Aceh Barat,154.4,2263.8,16017.5,57.7,967.6,6335.2,21.4,496.2,4811.6,11.0,338.0,2705.9,0
Kabupaten Aceh Barat Daya,110.0,1533.4,12335.5,30.2,636.9,5472.3,15.0,450.6,4745.6,5.0,154.6,1105.8,0
Kabupaten Aceh Besar,212.5,2710.3,30950.3,79.5,1379.9,13680.2,45.2,1022.7,8426.9,10.8,411.4,3258.2,1
Kabupaten Aceh Jaya,98.0,1070.8,9184.1,35.9,502.9,3483.3,14.0,256.3,2392.0,7.0,129.0,856.5,0
Kabupaten Aceh Selatan,204.9,2586.0,20074.0,59.8,1023.3,8783.6,33.4,840.8,6952.2,11.3,284.1,1529.6,0
Kabupaten Aceh Singkil,110.6,1290.0,17020.4,42.8,609.6,6420.7,13.9,289.8,3713.6,8.2,158.0,1031.2,0
Kabupaten Aceh Tamiang,168.9,2011.8,29475.5,59.6,1030.5,12352.6,27.1,756.3,8858.0,8.9,344.4,3299.8,0
Kabupaten Aceh Tengah,198.8,2308.4,20074.7,51.5,972.4,6358.2,19.3,534.7,4530.2,5.6,251.3,2407.7,0
Kabupaten Aceh Tenggara,177.5,1966.1,25021.8,73.3,1044.4,10581.1,28.0,618.8,6860.3,16.0,297.0,2567.7,0
Kabupaten Aceh Timur,289.0,3923.4,45062.0,82.3,1576.6,14905.7,30.4,834.0,8263.3,15.8,477.9,3905.4,1
Kabupaten Aceh Utara,365.3,5639.9,60370.4,139.7,2946.2,24940.9,53.6,1502.7,14628.5,25.6,701.3,5307.6,1
Kabupaten Bener Meriah,131.8,1434.7,16817.7,56.1,861.7,5308.9,22.6,497.5,3645.6,5.7,185.1,1254.3,0
Kabupaten Bireuen,233.6,3850.9,33672.2,94.2,2267.9,18423.5,36.6,1226.8,10730.9,12.3,480.5,3923.8,1
Kabupaten Gayo Lues,90.5,947.1,11116.2,38.1,447.2,3839.1,15.0,276.6,2812.0,2.2,64.0,309.7,0
Kabupaten Nagan Raya,136.1,1589.5,15335.6,39.7,678.0,6035.1,17.7,446.1,4335.3,4.7,93.4,827.4,0
Kabupaten Pidie,279.3,4152.1,34531.9,68.7,2012.4,14087.6,30.2,1157.4,10149.7,13.3,411.5,3507.4,1
Kabupaten Pidie Jaya,93.2,1857.1,12229.3,33.0,847.7,5124.3,13.9,488.1,3597.8,6.8,217.2,1224.0,0
Kabupaten Simeulue,115.0,1564.8,9753.7,45.6,643.4,4241.0,25.3,454.4,3703.3,8.0,158.1,941.3,0
Kota Banda Aceh,90.1,1367.9,24424.2,34.1,817.5,10575.2,29.7,890.6,10111.5,9.4,415.2,4737.9,0
Kota Langsa,66.6,1077.4,14411.7,21.0,597.9,6601.9,9.2,340.0,4079.2,9.4,374.4,3691.0,0
Kota Lhokseumawe,71.7,1386.9,18281.1,30.6,758.6,7733.2,12.1,429.5,4068.0,12.5,507.9,4705.8,0
Kota Sabang,25.3,398.8,3816.1,9.2,234.7,1566.6,3.0,113.8,1146.5,1.0,43.5,325.9,0
Kota Subulussalam,84.6,996.4,12373.0,30.5,373.4,4538.7,13.5,251.9,3173.3,5.4,151.9,1428.2,0
