kabupaten_kota,prop_sekolah_sma,prop_sekolah_smk,prop_guru_sma,prop_guru_smk,prop_murid_sma,prop_murid_smk,cluster
Kabupaten Aceh Barat,0.6604938271604938,0.3395061728395062,0.5948213857588108,0.4051786142411891,0.6400532091785833,0.35994679082141673,0
Kabupaten Aceh Barat Daya,0.75,0.25,0.7445472571050892,0.25545274289491077,0.8110195850565677,0.18898041494343232,0
Kabupaten Aceh Besar,0.8071428571428572,0.19285714285714287,0.7131301861794854,0.28686981382051463,0.7211662715766233,0.2788337284233768,0
Kabupaten Aceh Jaya,0.6666666666666666,0.3333333333333333,0.6651959512068518,0.3348040487931482,0.7363398491611512,0.2636601508388487,0
Kabupaten Aceh Selatan,0.7472035794183445,0.25279642058165547,0.7474442172637566,0.25255578273624324,0.8196609210309133,0.18033907896908677,0
Kabupaten Aceh Singkil,0.6289592760180995,0.3710407239819004,0.6471639124609201,0.3528360875390799,0.7826673410891923,0.21733265891080764,0
Kabupaten Aceh Tamiang,0.7527777777777778,0.24722222222222223,0.6871082038702645,0.31289179612973567,0.7285857638717531,0.27141423612824694,0
Kabupaten Aceh Tengah,0.7751004016064258,0.2248995983935743,0.6802798982188296,0.3197201017811705,0.6529641534181813,0.3470358465818187,0
Kabupaten Aceh Tenggara,0.6363636363636364,0.36363636363636365,0.6756933828346801,0.32430661716531994,0.727651675859143,0.272348324140857,0
Kabupaten Aceh Timur,0.6580086580086579,0.341991341991342,0.6357191859135605,0.3642808140864395,0.6790618554159442,0.32093814458405584,0
Kabupaten Aceh Utara,0.6767676767676768,0.32323232323232326,0.6818058076225045,0.31819419237749547,0.7337693932113102,0.2662306067886899,0
Kabupaten Bener Meriah,0.7985865724381626,0.20141342756183744,0.7288309405215353,0.2711690594784647,0.7440151839833467,0.2559848160166534,0
Kabupaten Bireuen,0.7484662576687116,0.25153374233128833,0.718561471328999,0.281438528671001,0.7322497219322128,0.2677502780677871,0
Kabupaten Gayo Lues,0.872093023255814,0.12790697674418605,0.812096300645919,0.18790369935408102,0.9007912355447353,0.09920876445526476,0
Kabupaten Nagan Raya,0.7901785714285714,0.2098214285714286,0.8268767377201113,0.1731232622798888,0.8397350223720147,0.16026497762798536,0
Kabupaten Pidie,0.6942528735632184,0.30574712643678165,0.7377143221365288,0.26228567786347123,0.7431812024514721,0.2568187975485279,0
Kabupaten Pidie Jaya,0.6714975845410629,0.3285024154589372,0.6920459378987666,0.3079540621012335,0.7461528889626281,0.25384711103737195,0
Kabupaten Simeulue,0.7597597597597598,0.24024024024024027,0.7418775510204081,0.2581224489795918,0.7973345390345777,0.20266546096542218,0
Kota Banda Aceh,0.7595907928388747,0.24040920716112532,0.6820340021442794,0.3179659978557206,0.6809366034991313,0.3190633965008687,0
Kota Langsa,0.49462365591397844,0.5053763440860215,0.47592385218365063,0.5240761478163494,0.5249800519935137,0.47501994800648634,1
Kota Lhokseumawe,0.49186991869918695,0.5081300813008129,0.45818220610198424,0.5418177938980158,0.46365314914860156,0.5363468508513985,1
Kota Sabang,0.75,0.25,0.7234583598219961,0.2765416401780038,0.7786606900298831,0.22133930997011678,0
Kota Subulussalam,0.7142857142857143,0.28571428571428575,0.6238236750866766,0.3761763249133234,0.6896229490383571,0.310377050961643,0
