kabupaten_kota,latitude,longitude,prop_sekolah_dasar,prop_guru_dasar,prop_murid_dasar,cluster
Kabupaten Aceh Barat,4.45,96.16,0.8674846625766871,0.794815033451397,0.7483277647956826,1
Kabupaten Aceh Barat Daya,3.83,96.89,0.8751560549313359,0.781949198342641,0.7526797186718063,1
Kabupaten Aceh Besar,5.38,95.52,0.8390804597701149,0.7404014988324313,0.7925068719857375,1
Kabupaten Aceh Jaya,4.72,95.64,0.8644286636539703,0.8033180193976519,0.7958959279713997,1
Kabupaten Aceh Selatan,3.31,97.18,0.8555268261150615,0.7623885767394701,0.7728458411222463,1
Kabupaten Aceh Singkil,2.42,97.93,0.8740740740740741,0.8092357501917014,0.8316605111066172,1
Kabupaten Aceh Tamiang,4.25,98.02,0.8638941398865785,0.7343229543808835,0.7747967524853713,1
Kabupaten Aceh Tengah,4.54,96.91,0.9095203488372093,0.8067276482738271,0.7920966833279394,1
Kabupaten Aceh Tenggara,3.37,97.8,0.8507462686567164,0.7667524132134579,0.7906326544661555,1
Kabupaten Aceh Timur,4.63,97.63,0.8893413173652694,0.807410560930137,0.831309851891694,1
Kabupaten Aceh Utara,4.97,97.14,0.8644299897295447,0.7957386863884487,0.8105786936304366,1
Kabupaten Bener Meriah,4.73,96.86,0.8691026827012025,0.7708627056059081,0.8187001646532107,1
Kabupaten Bireuen,5.14,96.62,0.8701884788956729,0.7818453635910607,0.7804552482082504,1
Kabupaten Gayo Lues,3.96,97.33,0.8820301783264747,0.8036774453859011,0.827310947612989,1
Kabupaten Nagan Raya,4.16,96.43,0.8869828456104945,0.8078019237620235,0.8054263682754566,1
Kabupaten Pidie,5.16,95.96,0.8888888888888888,0.797126748907337,0.780702543170308,1
Kabupaten Pidie Jaya,5.23,96.22,0.8590878148400272,0.7931732207266649,0.7825608557230084,1
Kabupaten Simeulue,2.61,96.08,0.8282619907168645,0.7828553196015173,0.7508168225201589,1
Kota Banda Aceh,5.55,95.32,0.7605633802816901,0.625973877176902,0.7021111842210845,0
Kota Langsa,4.47,97.96,0.824858757062147,0.7010503410469934,0.7300495417561267,0
Kota Lhokseumawe,5.18,97.14,0.806146572104019,0.6959356450095688,0.7477930671695207,0
Kota Sabang,5.88,95.32,0.8961038961038961,0.8010875063227112,0.7852110107802949,1
Kota Subulussalam,2.64,97.93,0.858955223880597,0.7723274695534507,0.7861080638863581,1
