kabupaten_kota,tahun,rls__nilai,Label_RLS,Prediksi_Label,Prediksi_Benar
Kabupaten Aceh Barat,2016,8.7,Perlu Peningkatan,Baik,False
Kabupaten Aceh Barat,2017,9.04,Baik,Baik,True
Kabupaten Aceh Barat,2018,9.08,Baik,Baik,True
Kabupaten Aceh Barat,2019,9.09,Baik,Baik,True
Kabupaten Aceh Barat,2020,9.37,Baik,Baik,True
Kabupaten Aceh Barat,2021,9.55,Baik,Baik,True
Kabupaten Aceh Barat,2022,9.87,Baik,Baik,True
Kabupaten Aceh Barat,2023,9.98,Baik,Baik,True
Kabupaten Aceh Barat,2024,9.99,Baik,Baik,True
Kabupaten Aceh Barat,2025,9.99,Baik,Baik,True
Kabupaten Aceh Barat Daya,2016,7.93,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2017,8.12,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2018,8.13,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2019,8.35,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2020,8.66,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2021,8.67,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2022,8.68,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2023,8.77,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2024,8.78,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Barat Daya,2025,8.78,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Besar,2016,9.92,Baik,Baik,True
Kabupaten Aceh Besar,2017,9.93,Baik,Baik,True
Kabupaten Aceh Besar,2018,10.14,Baik,Baik,True
Kabupaten Aceh Besar,2019,10.31,Baik,Baik,True
Kabupaten Aceh Besar,2020,10.32,Baik,Baik,True
Kabupaten Aceh Besar,2021,10.33,Baik,Baik,True
Kabupaten Aceh Besar,2022,10.35,Baik,Baik,True
Kabupaten Aceh Besar,2023,10.36,Baik,Baik,True
Kabupaten Aceh Besar,2024,10.37,Baik,Baik,True
Kabupaten Aceh Besar,2025,10.37,Baik,Baik,True
Kabupaten Aceh Jaya,2016,7.95,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2017,8.13,Baik,Baik,True
Kabupaten Aceh Jaya,2018,8.37,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2019,8.66,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2020,8.7,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2021,8.71,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2022,8.72,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2023,8.74,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Jaya,2024,9.02,Baik,Baik,True
Kabupaten Aceh Jaya,2025,9.02,Baik,Baik,True
Kabupaten Aceh Selatan,2016,8.02,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2017,8.33,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2018,8.38,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2019,8.59,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2020,8.87,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2021,8.88,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2022,8.89,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2023,8.91,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2024,8.92,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Selatan,2025,8.92,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2016,7.69,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2017,7.84,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2018,8.05,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2019,8.52,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2020,8.53,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2021,8.68,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2022,8.69,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2023,8.7,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2024,8.72,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Singkil,2025,8.72,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Tamiang,2016,8.21,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Tamiang,2017,8.47,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Tamiang,2018,8.7,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Tamiang,2019,8.89,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Tamiang,2020,8.9,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Tamiang,2021,8.91,Perlu Peningkatan,Baik,False
Kabupaten Aceh Tamiang,2022,9.04,Baik,Baik,True
Kabupaten Aceh Tamiang,2023,9.24,Baik,Baik,True
Kabupaten Aceh Tamiang,2024,9.3,Baik,Baik,True
Kabupaten Aceh Tamiang,2025,9.3,Baik,Baik,True
Kabupaten Aceh Tengah,2016,9.66,Baik,Baik,True
Kabupaten Aceh Tengah,2017,9.67,Baik,Baik,True
Kabupaten Aceh Tengah,2018,9.68,Baik,Baik,True
Kabupaten Aceh Tengah,2019,9.69,Baik,Baik,True
Kabupaten Aceh Tengah,2020,9.85,Baik,Baik,True
Kabupaten Aceh Tengah,2021,9.86,Baik,Baik,True
Kabupaten Aceh Tengah,2022,9.87,Baik,Baik,True
Kabupaten Aceh Tengah,2023,9.89,Baik,Baik,True
Kabupaten Aceh Tengah,2024,10.03,Baik,Baik,True
Kabupaten Aceh Tengah,2025,10.03,Baik,Baik,True
Kabupaten Aceh Tenggara,2016,9.33,Baik,Baik,True
Kabupaten Aceh Tenggara,2017,9.63,Baik,Baik,True
Kabupaten Aceh Tenggara,2018,9.64,Baik,Baik,True
Kabupaten Aceh Tenggara,2019,9.65,Baik,Baik,True
Kabupaten Aceh Tenggara,2020,9.66,Baik,Baik,True
Kabupaten Aceh Tenggara,2021,9.67,Baik,Baik,True
Kabupaten Aceh Tenggara,2022,9.92,Baik,Baik,True
Kabupaten Aceh Tenggara,2023,10.09,Baik,Baik,True
Kabupaten Aceh Tenggara,2024,10.1,Baik,Baik,True
Kabupaten Aceh Tenggara,2025,10.1,Baik,Baik,True
Kabupaten Aceh Timur,2016,7.6,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2017,7.8,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2018,7.85,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2019,7.86,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2020,8.15,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2021,8.21,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2022,8.32,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2023,8.47,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2024,8.48,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Timur,2025,8.48,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2016,8.09,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2017,8.1,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2018,8.11,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2019,8.46,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2020,8.63,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2021,8.64,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2022,8.73,Perlu Peningkatan,Perlu Peningkatan,True
Kabupaten Aceh Utara,2023,8.85,Perlu Peningkatan,Baik,False
Kabupaten Aceh Utara,2024,9.11,Baik,Baik,True
Kabupaten Aceh Utara,2025,9.11,Baik,Baik,True
Kabupaten Bener Meriah,2016,9.43,Baik,Baik,True
Kabupaten Bener Meriah,2017,9.55,Baik,Baik,True
Kabupaten Bener Meriah,2018,9.56,Baik,Baik,True
Kabupaten Bener Meriah,2019,9.78,Baik,Baik,True
Kabupaten Bener Meriah,2020,9.79,Baik,Baik,True
Kabupaten Bener Meriah,2021,10.0,Baik,Baik,True
Kabupaten Bener Meriah,2022,10.01,Baik,Baik,True
