kabupaten_kota,tahun,rasio_murid_per_guru_sd,rasio_murid_per_guru_smp,rasio_murid_per_guru_sma,rasio_murid_per_guru_smk,Jenjang_Terlemah,Prediksi_Jenjang_Terlemah
Kabupaten Aceh Barat,2016,7.012095032397408,7.946737683089214,10.109756097560975,8.022364217252397,SMA,SMA
Kabupaten Aceh Barat,2017,7.93065518890483,7.433128834355828,10.24390243902439,8.4,SMA,SMA
Kabupaten Aceh Barat,2018,7.471567267683772,7.154113557358054,10.098765432098766,8.33860759493671,SMA,SMA
Kabupaten Aceh Barat,2019,7.012095032397408,7.361725663716814,10.083673469387755,8.305295950155763,SMA,SMA
Kabupaten Aceh Barat,2020,6.619126819126819,6.568914956011731,9.419161676646707,8.087349397590362,SMA,SMA
Kabupaten Aceh Barat,2021,6.88641234462066,5.984600577478345,9.6,8.971153846153847,SMA,SMA
Kabupaten Aceh Barat,2022,6.7444539249146755,5.66049953746531,9.580321285140561,8.366279069767442,SMA,SMA
Kabupaten Aceh Barat,2023,6.911364633611233,5.666361136571952,9.553191489361701,7.4884318766066835,SMA,SMA
Kabupaten Aceh Barat,2024,7.088075880758808,6.218543046357616,9.193612774451097,7.11968085106383,SMA,SMA
Kabupaten Aceh Barat,2025,7.21753097751262,6.354562737642586,9.124,7.332425068119891,SMA,SMA
Kabupaten Aceh Barat Daya,2016,7.963206307490145,10.019642857142857,10.874476987447698,7.188235294117647,SMA,SMA
Kabupaten Aceh Barat Daya,2017,7.644444444444445,9.55834829443447,10.751592356687897,7.751592356687898,SMA,SMA
Kabupaten Aceh Barat Daya,2018,8.26986301369863,9.887619047619047,10.050526315789474,7.7105263157894735,SMA,SMA
Kabupaten Aceh Barat Daya,2019,7.963206307490145,8.945634266886326,10.738636363636363,7.719178082191781,SMA,SMA
Kabupaten Aceh Barat Daya,2020,7.650479233226837,8.22121212121212,9.984782608695653,7.098684210526316,SMA,SMA
Kabupaten Aceh Barat Daya,2021,8.188691650230112,7.894049346879536,11.483796296296296,7.565217391304348,SMA,SMA
Kabupaten Aceh Barat Daya,2022,8.304551539491298,7.778901734104046,10.412037037037036,6.924657534246576,SMA,SMA
Kabupaten Aceh Barat Daya,2023,8.245085190039319,7.80635838150289,10.612009237875288,6.7006369426751595,SMA,SMA
Kabupaten Aceh Barat Daya,2024,8.182809493264914,8.364296081277214,10.445205479452055,6.16969696969697,SMA,SMA
Kabupaten Aceh Barat Daya,2025,8.067295597484277,8.243553008595988,10.006711409395972,6.846625766871166,SMA,SMA
Kabupaten Aceh Besar,2016,11.63150074294205,8.29238884702336,7.023692003948668,9.462585034013605,SD,SD
Kabupaten Aceh Besar,2017,11.949845679012345,8.344981412639406,7.204771371769383,10.673846153846155,SD,SD
Kabupaten Aceh Besar,2018,12.210753532182103,9.183109118086696,7.417251755265798,9.486338797814208,SD,SD
Kabupaten Aceh Besar,2019,11.63150074294205,10.361151079136691,7.569721115537849,8.538083538083539,SD,SD
Kabupaten Aceh Besar,2020,10.909833155839546,10.136363636363637,7.086255924170616,7.661290322580645,SD,SD
Kabupaten Aceh Besar,2021,11.367636092468308,11.057246376811595,8.29459734964322,8.227064220183486,SD,SD
Kabupaten Aceh Besar,2022,11.376252319109462,10.524460431654676,8.894164193867457,6.917570498915401,SD,SD
