kabupaten_kota,tahun,rasio_murid_per_guru_sd,Label_SD,Prediksi_Label_SD,rasio_murid_per_guru_smp,Label_SMP,Prediksi_Label_SMP,rasio_murid_per_guru_sma,Label_SMA,Prediksi_Label_SMA,rasio_murid_per_guru_smk,Label_SMK,Prediksi_Label_SMK
Kabupaten Aceh Barat,2016,7.012095032397408,Baik,Baik,7.946737683089214,Baik,Baik,10.109756097560975,Perlu Peningkatan,Baik,8.022364217252397,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Barat,2017,7.93065518890483,Baik,Baik,7.433128834355828,Baik,Baik,10.24390243902439,Perlu Peningkatan,Baik,8.4,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Barat,2018,7.471567267683772,Baik,Baik,7.154113557358054,Baik,Baik,10.098765432098766,Perlu Peningkatan,Baik,8.33860759493671,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Barat,2019,7.012095032397408,Baik,Baik,7.361725663716814,Baik,Baik,10.083673469387755,Perlu Peningkatan,Baik,8.305295950155763,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Barat,2020,6.619126819126819,Baik,Baik,6.568914956011731,Baik,Baik,9.419161676646707,Baik,Baik,8.087349397590362,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Barat,2021,6.88641234462066,Baik,Baik,5.984600577478345,Baik,Baik,9.6,Baik,Baik,8.971153846153847,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Barat,2022,6.7444539249146755,Baik,Baik,5.66049953746531,Baik,Baik,9.580321285140561,Baik,Baik,8.366279069767442,Perlu Peningkatan,Baik
Kabupaten Aceh Barat,2023,6.911364633611233,Baik,Baik,5.666361136571952,Baik,Baik,9.553191489361701,Baik,Baik,7.4884318766066835,Baik,Baik
Kabupaten Aceh Barat,2024,7.088075880758808,Baik,Baik,6.218543046357616,Baik,Baik,9.193612774451097,Baik,Baik,7.11968085106383,Baik,Baik
Kabupaten Aceh Barat,2025,7.21753097751262,Baik,Baik,6.354562737642586,Baik,Baik,9.124,Baik,Baik,7.332425068119891,Baik,Baik
Kabupaten Aceh Barat Daya,2016,7.963206307490145,Baik,Baik,10.019642857142857,Perlu Peningkatan,Perlu Peningkatan,10.874476987447698,Perlu Peningkatan,Perlu Peningkatan,7.188235294117647,Baik,Baik
Kabupaten Aceh Barat Daya,2017,7.644444444444445,Baik,Baik,9.55834829443447,Perlu Peningkatan,Perlu Peningkatan,10.751592356687897,Perlu Peningkatan,Perlu Peningkatan,7.751592356687898,Baik,Baik
Kabupaten Aceh Barat Daya,2018,8.26986301369863,Baik,Baik,9.887619047619047,Perlu Peningkatan,Baik,10.050526315789474,Perlu Peningkatan,Perlu Peningkatan,7.7105263157894735,Baik,Baik
Kabupaten Aceh Barat Daya,2019,7.963206307490145,Baik,Baik,8.945634266886326,Perlu Peningkatan,Perlu Peningkatan,10.738636363636363,Perlu Peningkatan,Perlu Peningkatan,7.719178082191781,Baik,Baik
Kabupaten Aceh Barat Daya,2020,7.650479233226837,Baik,Baik,8.22121212121212,Baik,Baik,9.984782608695653,Perlu Peningkatan,Perlu Peningkatan,7.098684210526316,Baik,Baik
